INFO:     Started server process [9788]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
2026-06-20 20:43:36,752 | INFO | university_finder | GET /favicon.svg \u2192 200 (9.1ms)
2026-06-20 20:43:36,756 | INFO | university_finder | GET /subscription-plans \u2192 200 (14.8ms)
2026-06-20 20:43:36,758 | INFO | university_finder | GET /auth/me \u2192 200 (16.6ms)
2026-06-20 20:44:02,973 | INFO | university_finder | POST /auth/login \u2192 401 (337.7ms)
2026-06-20 20:44:07,010 | INFO | university_finder | POST /auth/login \u2192 401 (332.7ms)
2026-06-20 20:44:20,605 | INFO | university_finder | POST /auth/login \u2192 401 (326.6ms)
2026-06-20 20:44:26,822 | INFO | university_finder | POST /auth/login \u2192 401 (328.7ms)
2026-06-20 20:44:45,607 | INFO | university_finder | POST /auth/login \u2192 200 (311.3ms)
2026-06-20 20:44:45,615 | INFO | university_finder | GET /auth/me \u2192 200 (3.4ms)
2026-06-20 20:44:45,627 | INFO | university_finder | GET /instructor-messages/profile \u2192 200 (8.5ms)
2026-06-20 20:44:45,665 | INFO | university_finder | GET /notifications/unread-count \u2192 200 (35.2ms)
2026-06-20 20:44:45,672 | INFO | university_finder | GET /profiles/me \u2192 200 (14.6ms)
2026-06-20 20:44:45,687 | INFO | university_finder | GET /favourites \u2192 200 (16.1ms)
2026-06-20 20:44:45,689 | INFO | university_finder | GET /announcements \u2192 200 (15.4ms)
2026-06-20 20:44:45,702 | INFO | university_finder | GET /applications \u2192 200 (13.3ms)
2026-06-20 20:44:45,759 | INFO | university_finder | POST /recommendations \u2192 422 (4.4ms)
2026-06-20 20:44:48,771 | INFO | university_finder | POST /auth/onboarding/complete \u2192 200 (10.3ms)
2026-06-20 20:44:50,944 | INFO | university_finder | GET /notifications \u2192 200 (3.0ms)
2026-06-20 20:44:53,530 | INFO | university_finder | GET /dashboard \u2192 200 (0.9ms)
2026-06-20 20:44:53,556 | INFO | university_finder | GET /assets/index-B78K2vVA.js \u2192 200 (3.4ms)
2026-06-20 20:44:53,558 | INFO | university_finder | GET /assets/index-BAIN98Qn.css \u2192 200 (3.4ms)
